rebalance_date,universe_mode,region,ticker,weight,total_score,composite_return,volatility,efficiency,quality
2024-03-18,current,US,CFG,0.08635229458239874,4.5428423408431,0.2737677271290037,0.02757809888834901,9.926997804937999,2.7652048835059766
2024-03-18,current,US,ARES,0.08465844987988223,2.9164514023899812,0.20552861370184924,0.028129880981852793,7.306416043297172,2.0496125905183056
2024-03-18,current,US,CTAS,0.08465844987988223,2.9164514023899812,0.20552861370184924,0.028129880981852793,7.306416043297172,2.0496125905183056
2024-03-18,current,US,FFIV,0.08465844987988223,2.9164514023899812,0.20552861370184924,0.028129880981852793,7.306416043297172,2.0496125905183056
2024-03-18,current,US,VICI,0.08465844987988223,2.9164514023899812,0.20552861370184924,0.028129880981852793,7.306416043297172,2.0496125905183056
2024-03-18,current,US,BA,0.06489452594089705,2.478908744663002,0.2604567083361848,0.03669696456983346,7.097500062724311,1.915163204590965
2024-03-18,current,JP,8035.T,0.08501989665952922,2.12789989210769,0.2267377892212286,0.02801029185869189,8.094802809092096,2.236267693347212
2024-03-18,current,JP,4543.T,0.08501989665952922,2.12789989210769,0.2267377892212286,0.02801029185869189,8.094802809092096,2.236267693347212
2024-03-18,current,JP,8053.T,0.08501989665952922,2.12789989210769,0.2267377892212286,0.02801029185869189,8.094802809092096,2.236267693347212
2024-03-18,current,JP,5803.T,0.08501989665952922,2.12789989210769,0.2267377892212286,0.02801029185869189,8.094802809092096,2.236267693347212
2024-03-18,current,JP,7270.T,0.08501989665952922,2.12789989210769,0.2267377892212286,0.02801029185869189,8.094802809092096,2.236267693347212
2024-03-18,current,JP,5713.T,0.08501989665952922,2.12789989210769,0.2267377892212286,0.02801029185869189,8.094802809092096,2.236267693347212
2024-05-08,current,US,CFG,0.08567916385053478,5.107021670700765,0.23244026432269915,0.028286319114446106,8.217409390817117,2.9670924287214913
2024-05-08,current,US,ARES,0.0851897525282567,2.8670865149933547,0.15805904169695528,0.028448822754019294,5.555907991821013,1.943081309104837
2024-05-08,current,US,CTAS,0.0851897525282567,2.8670865149933547,0.15805904169695528,0.028448822754019294,5.555907991821013,1.943081309104837
2024-05-08,current,US,FFIV,0.0851897525282567,2.8670865149933547,0.15805904169695528,0.028448822754019294,5.555907991821013,1.943081309104837
2024-05-08,current,US,VICI,0.0851897525282567,2.8670865149933547,0.15805904169695528,0.028448822754019294,5.555907991821013,1.943081309104837
2024-05-08,current,US,BA,0.06390974786402741,2.615094384358441,0.19920375570385018,0.03792141654652456,5.2530673652302395,1.944957618568765
2024-05-08,current,JP,8035.T,0.08494201302873519,2.1470619771912247,0.17664075008979263,0.028531795794800335,6.191014100906464,2.11003918728223
2024-05-08,current,JP,4543.T,0.08494201302873519,2.1470619771912247,0.17664075008979263,0.028531795794800335,6.191014100906464,2.11003918728223
2024-05-08,current,JP,8053.T,0.08494201302873519,2.1470619771912247,0.17664075008979263,0.028531795794800335,6.191014100906464,2.11003918728223
2024-05-08,current,JP,5803.T,0.08494201302873519,2.1470619771912247,0.17664075008979263,0.028531795794800335,6.191014100906464,2.11003918728223
